tid,label,time,space
195009,2,0,89.4 20.8
195009,2,6,89 20.8
195009,2,12,88.4 20.9
195009,2,18,87.8 21
195009,2,24,87.3 21
195009,2,30,86.8 21
195009,2,36,86.1 20.9
195009,2,42,85.4 20.6
195009,2,48,85.1 20.3
195009,2,54,84.7 19.9
195009,2,60,84.1 18.8
195108,2,0,95.2 18.7
195108,2,6,95 19
195108,2,12,94.7 19.6
195108,2,18,94.3 20.3
195108,2,24,93.7 21.3
195108,2,30,93.2 22.2
195108,2,36,92.9 22.8
195108,2,42,92.7 23.3
195108,2,48,92.6 23.8
195108,2,54,92.5 24.3
195108,2,60,92.4 24.9
195108,2,66,92.3 25.4
195108,2,72,92.5 25.8
195108,2,78,93.2 26.1
195108,2,84,94 26.3
195108,2,90,95.2 26.4
195108,2,96,96.7 26.6
195108,2,102,98.3 26.8
195108,2,108,99.8 27.6
195108,2,114,101.2 29
195108,2,120,102.4 30.6
195108,2,126,103.3 32
195108,2,132,103.8 32.6
195108,2,138,104.2 33.2
195108,2,144,104.8 33.9
195108,2,150,105.5 34.6
195108,2,156,106.2 35.1
195108,2,162,107 35.7
195108,2,168,107.8 36.4
195108,2,174,108.7 37.1
195108,2,180,109.8 37.7
195108,2,186,111 38.3
195108,2,192,112.2 38.9
195108,2,198,114.3 39.5
195108,2,204,119.1 40.3
195108,2,210,124.7 41.2
195108,2,216,129.3 41.9
195108,2,222,134 42.6
195108,2,228,139.1 43.6
195108,2,234,144.1 45.2
195108,2,240,148.8 48.3
195108,2,246,153.2 53.3
195404,2,0,112.3 19.3
195404,2,6,111.6 20.9
195404,2,12,111 22.8
195404,2,18,110.5 24.8
195404,2,24,110.1 26.8
195404,2,30,109.8 29
195404,2,36,109.9 31.7
195404,2,42,110.7 34.6
195404,2,48,113.1 37.2
195404,2,54,115.8 39.7
195404,2,60,119.5 42.1
195404,2,66,123.6 44.3
195404,2,72,128.1 45.8
195404,2,78,132.6 46.8
195404,2,84,137.1 47.6
195404,2,90,141.7 48.3
195404,2,96,146.5 49
195404,2,102,151.2 49.7
195506,2,0,148.9 19
195506,2,6,146.9 19.2
195506,2,12,144.7 19.4
195506,2,18,142.9 19.8
195506,2,24,141.3 20.4
195506,2,30,139.8 21
195506,2,36,138.3 21.6
195506,2,42,136.8 22.2
195506,2,48,135.2 22.9
195506,2,54,133.6 23.7
195506,2,60,131.9 24.6
195506,2,66,130.2 25.5
195506,2,72,128.7 26.5
195506,2,78,127.6 27.4
195506,2,84,126.7 28.2
195506,2,90,126 29
195506,2,96,125.4 29.9
195506,2,102,124.9 30.7
195506,2,108,124.7 31.6
195506,2,114,124.6 32.4
195506,2,120,124.6 33.1
195506,2,126,124.8 33.9
195506,2,132,125.3 35.3
195506,2,138,126.1 36.8
195506,2,144,127.3 38
195506,2,150,128.8 39.3
195506,2,156,130.3 40.7
195506,2,162,132.8 42.4
195506,2,168,136.3 44.5
195506,2,174,139.9 46.6
196301,2,0,140.6 11
196301,2,6,139.1 11
196301,2,12,137.8 11.1
196301,2,18,136.5 11.2
196301,2,24,135.2 11.3
196301,2,30,134 11.5
196301,2,36,132.6 12.4
196301,2,42,131.3 13.3
196301,2,48,130.1 14.3
196301,2,54,129.2 14.9
196301,2,60,127.7 15.2
196301,2,66,126.1 15.5
196301,2,72,124.7 15.9
196301,2,78,123.3 16.3
196301,2,84,122 16.7
196301,2,90,120.8 17.4
196301,2,96,119.7 18.2
196301,2,102,118.6 19.1
196301,2,108,117.5 20
196301,2,114,116.4 21
196301,2,120,115.4 22
196301,2,126,114.4 22.8
196301,2,132,113.3 23.5
196301,2,138,112 24
196301,2,144,111.2 24.4
196301,2,150,110.5 25
196301,2,156,109.9 25.4
196301,2,162,109.7 26
196301,2,168,109.6 26.5
196301,2,174,109.5 27.3
196301,2,180,109.9 28
196301,2,186,110.3 28.5
