tid,label,time,space
195302,2,0,106.1 22.8
195302,2,6,105.5 24.1
195302,2,12,105.2 25.3
195302,2,18,104.8 26.5
195302,2,24,104.4 27.9
195302,2,30,104.1 29.2
195302,2,36,104 29.9
195302,2,42,103.9 30.5
195302,2,48,103.8 31.5
195302,2,54,103.7 32.5
195302,2,60,103.7 33.6
195302,2,66,103.9 34.7
195302,2,72,104.3 35.8
195302,2,78,105 37
195302,2,84,106.2 38.1
195302,2,90,107.7 39.3
195302,2,96,109.6 40.4
195302,2,102,112 41.5
195302,2,108,115.7 43.1
195302,2,114,119.5 45.3
195302,2,120,120.9 48.7
195302,2,126,120.6 53.5
195404,2,0,112.3 19.3
195404,2,6,111.6 20.9
195404,2,12,111 22.8
195404,2,18,110.5 24.8
195404,2,24,110.1 26.8
195404,2,30,109.8 29
195404,2,36,109.9 31.7
195404,2,42,110.7 34.6
195404,2,48,113.1 37.2
195404,2,54,115.8 39.7
195404,2,60,119.5 42.1
195404,2,66,123.6 44.3
195404,2,72,128.1 45.8
195404,2,78,132.6 46.8
195404,2,84,137.1 47.6
195404,2,90,141.7 48.3
195404,2,96,146.5 49
195404,2,102,151.2 49.7
195506,2,0,148.9 19
195506,2,6,146.9 19.2
195506,2,12,144.7 19.4
195506,2,18,142.9 19.8
195506,2,24,141.3 20.4
195506,2,30,139.8 21
195506,2,36,138.3 21.6
195506,2,42,136.8 22.2
195506,2,48,135.2 22.9
195506,2,54,133.6 23.7
195506,2,60,131.9 24.6
195506,2,66,130.2 25.5
195506,2,72,128.7 26.5
195506,2,78,127.6 27.4
195506,2,84,126.7 28.2
195506,2,90,126 29
195506,2,96,125.4 29.9
195506,2,102,124.9 30.7
195506,2,108,124.7 31.6
195506,2,114,124.6 32.4
195506,2,120,124.6 33.1
195506,2,126,124.8 33.9
195506,2,132,125.3 35.3
195506,2,138,126.1 36.8
195506,2,144,127.3 38
195506,2,150,128.8 39.3
195506,2,156,130.3 40.7
195506,2,162,132.8 42.4
195506,2,168,136.3 44.5
195506,2,174,139.9 46.6
196703,2,0,159.7 15.4
196703,2,6,158.3 15.7
196703,2,12,156.9 15.9
196703,2,18,155.5 16.1
196703,2,24,154 16.4
196703,2,30,152.5 16.8
196703,2,36,151 17.1
196703,2,42,149.3 17.5
196703,2,48,147.9 18
196703,2,54,146.5 18.6
196703,2,60,145.3 19.3
196703,2,66,144.2 20
196703,2,72,143.2 20.7
196703,2,78,142.4 21.7
196703,2,84,142 22.7
196703,2,90,141.7 23.7
196703,2,96,141.2 24.8
196703,2,102,140.9 25.8
196703,2,108,140.6 26.3
196703,2,114,140.4 26.7
196703,2,120,139.6 26.6
196703,2,126,138.6 26.5
196703,2,132,137.3 26.4
196703,2,138,136.1 26.3
196703,2,144,135 26.2
196703,2,150,133.8 26.1
196703,2,156,132.7 26
196703,2,162,131.3 26.2
196703,2,168,130.7 26.5
196703,2,174,130.3 26.8
196703,2,180,129.8 27.3
196703,2,186,129.3 27.7
196703,2,192,129.1 27.9
196703,2,198,128.8 28.2
196703,2,204,128.5 28.4
196703,2,210,128.1 28.8
196703,2,216,127.8 29
196703,2,222,127.4 29.4
196703,2,228,126.7 30
196703,2,234,125.9 30.8
196703,2,240,125.1 31.7
196703,2,246,124.2 32.6
196703,2,252,123.4 33.5
196703,2,258,122.8 34.5
196703,2,264,122.4 35.6
196703,2,270,122.2 36.7
196703,2,276,122.2 37.8
196703,2,282,122.2 38.9
196703,2,288,123.1 40
196703,2,294,124.9 40.8
196703,2,300,127 41.4
196703,2,306,129.3 41.9
196703,2,312,132.2 42.3
196703,2,318,135.2 42.7
196703,2,324,138.2 43
196703,2,330,141.5 43.4
196703,2,336,145 44
196703,2,342,148.5 44.5
196703,2,348,152 44.9
196703,2,354,155.2 44.8
196703,2,360,158.5 44.6
196703,2,366,161.9 44.3
196703,2,372,165 44
196703,2,378,168.2 44.2
196703,2,384,171.5 44.3
196703,2,390,174.9 44.6
196703,2,396,178.2 44.8
196703,2,402,181.5 45.1
196915,2,0,94.9 17.3
196915,2,6,94.6 17.6
196915,2,12,94.3 17.9
196915,2,18,94.1 18.1
196915,2,24,93.9 18.3
196915,2,30,93.5 18.7
196915,2,36,93.1 19.1
196915,2,42,92.4 19.7
196915,2,48,91.7 20.4
196915,2,54,91 21
196915,2,60,90.5 21.5
196915,2,66,89.8 22.4
196915,2,72,89.2 23.3
196915,2,78,89.1 23.8
196915,2,84,89 24.3
196915,2,90,88.9 24.9
196915,2,96,89 25.8
196915,2,102,89.6 26.2
196915,2,108,90.4 26.3
196915,2,114,91.1 26.3
196915,2,120,91.7 26.2
196915,2,126,92.5 26
196915,2,132,93.2 25.4
196915,2,138,93.5 25.1
196915,2,144,93.8 24.7
196915,2,150,93.9 24.4
196915,2,156,93.8 24.1
196915,2,162,93.2 23.8
196915,2,168,92.5 23.6
196915,2,174,92 23.5
196915,2,180,91.4 23.4
196915,2,186,90.5 23.2
196915,2,192,89.6 23.1
196915,2,198,88.9 22.9
196915,2,204,88.3 22.4
196915,2,210,87.8 22
196915,2,216,87.4 21.4
196915,2,222,87.1 20.8
196915,2,228,87 20.1
196915,2,234,87 19.4
196915,2,240,86.9 18.7
196915,2,246,86.9 18
197203,2,0,116 36.5
197203,2,6,117.5 37
197203,2,12,119 37.5
197203,2,18,120.5 37.5
197203,2,24,122 37.5
197203,2,30,123.2 37.3
197203,2,36,123.8 37.2
197203,2,42,124.5 37.2
197203,2,48,125.2 37.2
197203,2,54,125.7 37.3
197203,2,60,126.2 37.3
197203,2,66,126.5 37.3
197203,2,72,126.7 37.3
197203,2,78,126.9 37.2
197203,2,84,127.1 37.4
197203,2,90,127.3 37.7
197203,2,96,127.6 38
197203,2,102,128 38.3
197203,2,108,129 38.5
197203,2,114,131 38.5
197203,2,120,133.4 38.8
197203,2,126,135.4 40
197203,2,132,137.4 40.5
197203,2,138,139.3 40.9
197203,2,144,140.1 41.1
197203,2,150,143 41.2
197203,2,156,144.3 41
197203,2,162,145.4 41.2
197203,2,168,146.6 41.6
197203,2,174,147.5 41.7
197203,2,180,147.8 41.6
197203,2,186,147.9 41.5
197203,2,192,147.8 41.2
197203,2,198,147.4 40.9
197203,2,204,146 40.6
197203,2,210,144.6 40.7
197203,2,216,143.2 41.1
197203,2,222,142.2 41.9
197203,2,228,142 42.9
197203,2,234,141.9 44
197203,2,240,142.1 45.1
197203,2,246,142.1 46.2
197506,2,0,146.5 17.5
197506,2,6,145.6 17.8
197506,2,12,144.7 18.3
197506,2,18,143.6 19
197506,2,24,142.4 19.6
197506,2,30,141 20
197506,2,36,139.8 20.4
197506,2,42,138.7 20.5
197506,2,48,137.3 20.5
197506,2,54,136 20.3
197506,2,60,134.7 20.2
197506,2,66,133.8 20.3
197506,2,72,133 20.3
197506,2,78,132.2 20.3
197506,2,84,131.5 20.4
197506,2,90,130.7 20.5
197506,2,96,130 20.5
197506,2,102,129.2 20.4
197506,2,108,128.5 20.4
197506,2,114,127.8 20.4
197506,2,120,126.6 20.3
197506,2,126,125.4 20.4
197506,2,132,124.2 20.6
197506,2,138,123.5 20.8
197506,2,144,122.9 21.5
197506,2,150,123 22.4
197506,2,156,123.1 23
197506,2,162,122.8 23.8
197506,2,168,121.9 24.2
197506,2,174,121.2 24.8
197506,2,180,120.6 25.5
197506,2,186,120 26.5
197506,2,192,119.1 27.9
197506,2,198,118 29.6
197506,2,204,116.9 31
197506,2,210,115.8 32.7
197506,2,216,114.8 34.4
197506,2,222,114.3 36.1
197506,2,228,115 37.4
197506,2,234,116.3 38.4
197506,2,240,119.5 39.8
197506,2,246,122.9 41
197506,2,252,128 42.3
197506,2,258,134 42.8
197506,2,264,140 42.9
197506,2,270,146 43
197807,2,0,141 12
197807,2,6,140 13
197807,2,12,138.8 14.2
197807,2,18,137.1 15.5
197807,2,24,135.2 16.7
197807,2,30,133.6 17.8
197807,2,36,132.1 18.9
197807,2,42,130.5 20.3
197807,2,48,128.8 21.2
197807,2,54,126.8 22
197807,2,60,124.9 22.1
197807,2,66,123.2 21.8
197807,2,72,122 21.7
197807,2,78,121 21.8
197807,2,84,120 22.2
197807,2,90,118.8 22.3
197807,2,96,118 22.6
197807,2,102,118 23.5
197807,2,108,118.9 24.3
197807,2,114,119.5 25
197807,2,120,120.1 25.7
197807,2,126,120.8 26.4
197807,2,132,121.7 27.2
197807,2,138,122.7 27.7
197807,2,144,123.9 28.2
197807,2,150,125.2 28.6
197807,2,156,126.6 28.7
197807,2,162,128 29.1
197807,2,168,129.5 29.2
197807,2,174,130.9 29.9
197807,2,180,132.5 30.7
197807,2,186,134.3 31
197807,2,192,135.3 31.3
197807,2,198,136 31.4
197807,2,204,136.5 31.6
197807,2,210,137 31.7
197807,2,216,137.1 31.8
197807,2,222,137 32.1
197807,2,228,137 32.6
197807,2,234,136.9 33.6
197807,2,240,136.9 34.6
197807,2,246,137.1 35.9
197807,2,252,138.1 37.4
197807,2,258,139.4 39.3
197807,2,264,141.5 40.9
197807,2,270,144.1 43.1
197807,2,276,147.2 45.7
197807,2,282,150.6 47.7
197807,2,288,155.7 49.8
197807,2,294,161 51.5
198411,2,0,111.1 24.1
198411,2,6,110.6 24
198411,2,12,110.1 23.9
198411,2,18,109.6 23.9
198411,2,24,109.1 24
198411,2,30,108.6 24.1
198411,2,36,108.1 24.3
198411,2,42,107.8 24.6
198411,2,48,107.8 25.2
198411,2,54,107.9 25.8
198411,2,60,107.9 26.4
198411,2,66,107.8 26.9
198411,2,72,107.6 27.2
198411,2,78,107.5 27.5
198411,2,84,107.4 28
198411,2,90,107.5 28.6
198411,2,96,107.6 29.3
198411,2,102,107.9 30
198411,2,108,108.1 30.7
198411,2,114,108.3 31.4
198411,2,120,108.3 32.2
198411,2,126,108.2 33
198411,2,132,108.3 33.7
198411,2,138,108.6 34.3
198411,2,144,108.8 34.8
198411,2,150,108.7 35.4
198411,2,156,108.3 36
198411,2,162,108.1 36.6
198411,2,168,108.3 36.8
198411,2,174,108.6 36.6
198411,2,180,109.2 36.3
198411,2,186,110.2 35.9
198411,2,192,111.6 36.2
198411,2,198,113.4 36.8
198411,2,204,115.2 37.6
198411,2,210,117 38.3
198411,2,216,118.6 39.2
198411,2,222,120.3 39.9
198411,2,228,121.8 40.6
198411,2,234,123.4 41.3
198411,2,240,125.1 42
198411,2,246,126.1 43
198411,2,252,125.9 43.6
198411,2,258,125.6 44
198411,2,264,124.9 44
198411,2,270,124 44.1
198411,2,276,122.9 44
198411,2,282,122.3 42.8
198411,2,288,123.2 41.2
198411,2,294,124.9 40.6
198411,2,300,126.9 40.7
198411,2,306,129.1 41.2
198411,2,312,131.5 41.8
198411,2,318,134.3 42.2
198411,2,324,137.2 42.8
198411,2,330,140.5 43.3
198605,2,0,129.2 21.8
198605,2,6,128.4 22.4
198605,2,12,127.7 23.2
198605,2,18,127.1 24.1
198605,2,24,126.6 25
198605,2,30,126.2 25.6
198605,2,36,125.7 26.3
198605,2,42,125.2 26.8
198605,2,48,124.6 27.2
198605,2,54,124.5 28.1
198605,2,60,124.7 28.8
198605,2,66,125.1 29.5
198605,2,72,125.3 30.1
198605,2,78,126.2 30.4
198605,2,84,126.9 30.5
198605,2,90,127.6 30.6
198605,2,96,128.3 30.6
198605,2,102,128.9 30.4
198605,2,108,129.4 30
198605,2,114,129.9 29.6
198605,2,120,130.4 29.2
198605,2,126,131 29
198605,2,132,131.5 28.7
198605,2,138,131.1 29.1
198605,2,144,130.7 29.5
