tid,label,lat,lon
3174,41,39.739154,-104.984703
3174,41,39.739154,-104.984703
3174,41,39.739154,-104.984703
3174,41,39.739154,-104.984703
3174,41,39.739154,-104.984703
3174,41,39.739154,-104.984703
3174,41,39.739154,-104.984703
3174,41,39.481654,-106.038352
3174,41,39.481654,-106.038352
3174,41,39.739154,-104.984703
3174,41,39.739154,-104.984703
3177,41,39.739154,-104.984703
3177,41,39.739154,-104.984703
3177,41,39.739154,-104.984703
3177,41,39.739154,-104.984703
3177,41,39.739154,-104.984703
3177,41,39.739154,-104.984703
3177,41,39.739154,-104.984703
3177,41,39.739154,-104.984703
3177,41,39.739154,-104.984703
3177,41,39.739154,-104.984703
3177,41,39.739154,-104.984703
3177,41,39.739154,-104.984703
3179,41,39.739154,-104.984703
3179,41,39.739154,-104.984703
3179,41,39.762352,-104.982366
3179,41,39.747791,-104.984278
3179,41,39.762352,-104.982366
3179,41,39.785198,-104.891902
3179,41,39.739154,-104.984703
3179,41,39.739154,-104.984703
3179,41,39.739154,-104.984703
3179,41,39.739154,-104.984703
3179,41,39.739154,-104.984703
3180,41,39.739154,-104.984703
3180,41,39.739154,-104.984703
3180,41,39.762352,-104.982366
3180,41,39.752131,-104.987061
3180,41,39.762352,-104.982366
3180,41,39.746295,-104.979879
3180,41,39.762352,-104.982366
3180,41,39.739154,-104.984703
3180,41,39.762352,-104.982366
3180,41,39.747265,-104.994764
3180,41,39.762352,-104.982366
3180,41,39.78547,-104.895347
3180,41,39.739154,-104.984703
3180,41,39.743582,-104.976643
3180,41,39.762146,-104.98248
3180,41,39.750502,-104.999114
3180,41,39.762352,-104.982366
3181,41,39.75015,-105.00028
3181,41,43.549975,-96.700327
3181,41,39.739154,-104.984703
3181,41,39.762352,-104.982366
3181,41,39.739154,-104.984703
3181,41,39.739154,-104.984703
3181,41,39.739154,-104.984703
3181,41,39.739154,-104.984703
3181,41,39.739154,-104.984703
3181,41,39.720334,-104.903522
3181,41,39.739154,-104.984703
3181,41,39.751425,-105.000289
3181,41,39.75809,-104.903216
3181,41,39.739154,-104.984703
3181,41,39.739154,-104.984703
3182,41,39.739154,-104.984703
3182,41,39.739154,-104.984703
3182,41,39.754264,-104.997359
3182,41,39.740494,-104.976582
3182,41,39.762352,-104.982366
3182,41,39.762352,-104.982366
3182,41,39.764486,-104.979751
3182,41,39.762352,-104.982366
3182,41,39.753861,-104.99541
3182,41,39.762352,-104.982366
3182,41,39.762352,-104.982366
3182,41,39.762352,-104.982366
3182,41,39.747265,-104.994764
3182,41,39.762352,-104.982366
3182,41,39.73968,-104.956599
3183,41,39.762352,-104.982366
3183,41,39.739154,-104.984703
3183,41,39.762352,-104.982366
3183,41,39.762352,-104.982366
3183,41,39.762352,-104.982366
3183,41,39.762352,-104.982366
3183,41,39.878664,-104.682105
3183,41,39.878664,-104.682105
3183,41,33.432323,-112.007237
3183,41,33.414768,-111.90931
3183,41,33.414768,-111.90931
3183,41,33.414768,-111.90931
3183,41,33.414768,-111.90931
3183,41,33.414768,-111.90931
3183,41,33.414768,-111.90931
3183,41,33.422269,-111.82264
3183,41,33.414768,-111.90931
3183,41,33.448377,-112.074037
3183,41,39.878664,-104.682105
3183,41,39.739154,-104.984703
3183,41,39.739154,-104.984703
3183,41,39.739154,-104.984703
3186,41,39.762146,-104.98248
3186,41,39.762352,-104.982366
3186,41,39.747265,-104.994764
3186,41,39.739154,-104.984703
3186,41,39.739154,-104.984703
3186,41,39.739154,-104.984703
3186,41,39.776639,-105.043361
3186,41,39.776639,-105.043361
3186,41,39.776639,-105.043361
3186,41,39.739154,-104.984703
3186,41,39.739154,-104.984703
3186,41,39.762352,-104.982366
3186,41,39.762352,-104.982366
3186,41,39.750502,-104.999114
3186,41,39.762352,-104.982366
3186,41,39.758711,-104.989189
3186,41,39.758711,-104.989189
3187,41,39.75015,-105.00028
3187,41,39.739154,-104.984703
3187,41,39.746295,-104.979879
3187,41,39.762146,-104.98248
3187,41,39.762146,-104.98248
3187,41,39.762146,-104.98248
3187,41,39.762146,-104.98248
3187,41,39.739154,-104.984703
3187,41,39.739154,-104.984703
3187,41,39.75015,-105.00028
3187,41,39.75015,-105.00028
3187,41,39.785236,-104.891552
3187,41,39.762146,-104.98248
3187,41,39.762146,-104.98248
3187,41,39.762146,-104.98248
3187,41,39.764252,-104.978498
3190,41,39.762352,-104.982366
3190,41,39.739154,-104.984703
3190,41,39.739154,-104.984703
3190,41,39.739154,-104.984703
3190,41,39.739154,-104.984703
3190,41,39.762352,-104.982366
3190,41,39.694404,-104.941066
3190,41,39.739154,-104.984703
3190,41,39.762325,-104.98227
3190,41,39.739154,-104.984703
3190,41,39.756277,-104.991222
3190,41,39.762352,-104.982366
3190,41,39.762325,-104.98227
3192,41,39.739154,-104.984703
3192,41,39.758015,-105.011242
3192,41,39.758015,-105.011242
3192,41,39.758015,-105.011242
3192,41,39.758015,-105.011242
3192,41,39.758015,-105.011242
3192,41,39.762352,-104.982366
3192,41,39.754178,-104.991031
3192,41,39.73968,-104.956599
3192,41,39.720334,-104.903522
3192,41,39.750502,-104.999114
3194,41,39.748395,-104.998479
3194,41,39.748395,-104.998479
3194,41,39.748508,-105.00007
3194,41,39.878664,-104.682105
3194,41,40.788387,-111.977773
3194,41,40.759936,-111.884937
3194,41,40.759936,-111.884937
3194,41,40.759936,-111.884937
3194,41,40.759936,-111.884937
3194,41,40.759936,-111.884937
3194,41,40.759936,-111.884937
3194,41,40.759936,-111.884937
3194,41,40.785596,-111.980673
3194,41,39.878664,-104.682105
3194,41,39.739154,-104.984703
3194,41,39.758711,-104.989189
3194,41,39.747791,-104.984278
3310,43,39.748633,-105.004112
3310,43,39.748633,-105.004112
3310,43,39.748633,-105.004112
3310,43,39.758015,-105.011242
3310,43,39.748633,-105.004112
3310,43,39.743173,-104.990452
3310,43,39.748633,-105.004112
3310,43,39.748633,-105.004112
3310,43,39.758015,-105.011242
3310,43,39.661482,-105.187486
3310,43,39.661482,-105.187486
3310,43,39.739154,-104.984703
3314,43,39.757421,-105.010453
3314,43,39.757421,-105.010453
3314,43,39.748633,-105.004112
3314,43,39.748521,-105.000087
3314,43,39.757421,-105.010453
3314,43,39.739154,-104.984703
3314,43,39.748633,-105.004112
